"gene_1.fasta" "gene_10.fasta" "gene_11.fasta" "gene_12.fasta" "gene_13.fasta" "gene_14.fasta" "gene_15.fasta" "gene_16.fasta" "gene_17.fasta" "gene_18.fasta" "gene_19.fasta" "gene_2.fasta" "gene_20.fasta" "gene_3.fasta" "gene_4.fasta" "gene_5.fasta" "gene_6.fasta" "gene_7.fasta" "gene_8.fasta" "gene_9.fasta"
"gene_1.fasta" 0 0.61958932047923 0.465990666500535 0.473640574576309 0.725668040735338 0.415099344950819 0.397116003259397 0.823506988350924 0.988381748996497 1.02322509137666 0.956962996076369 1.14704516132177 0.844740995017547 1.05551291614423 1.11644593470756 1.07227986053411 0.590544040090177 0.531990665377703 0.386985252624772 0.714635761963297
"gene_10.fasta" 0.61958932047923 0 1.03386483074752 1.0577772962407 1.11850858394498 1.14149683411853 1.09254578550597 0.804718716134705 0.959540340392677 0.97883849013032 0.890917832657192 0.571405209077472 0.791509860669263 0.590961056270808 0.628646137761898 0.610300416566752 0.984404943861134 0.922459470458186 1.17151180086566 1.07870524266799
"gene_11.fasta" 0.465990666500535 1.03386483074752 0 1.02195352534423 1.09994084385082 1.09299511787152 1.08376247395633 0.715206027229031 0.816993380209726 0.752565473754103 0.804672612951254 0.429176000207379 0.719400451358519 0.426551765664718 0.482130249401639 0.467630623074648 1.01589259180029 0.983146336528993 0.866589443872767 1.08033419671962
"gene_12.fasta" 0.473640574576309 1.0577772962407 1.02195352534423 0 1.07377529232483 1.06257130558745 1.05667593903049 0.702877794793486 0.808429404045384 0.74498427824561 0.794509842999492 0.434762485199186 0.711348109719823 0.432404808473941 0.481474721842087 0.868890975990744 1.0385761317809 1.00239063417121 0.886205435809266 1.10388316446246
"gene_13.fasta" 0.725668040735338 1.11850858394498 1.09994084385082 1.07377529232483 0 0.93657355746271 1.01407142616535 0.622806674250141 0.719921219119381 0.644659465727568 0.707786440094913 0.899317477956395 0.630217753880075 0.74529147352315 0.989334673297756 0.865858303310216 1.09781119755222 1.06439104064818 0.966811183100623 1.15030279293975
"gene_14.fasta" 0.415099344950819 1.14149683411853 1.09299511787152 1.06257130558745 0.93657355746271 0 0.921501149743142 0.638885901876432 0.751405945000945 0.701164082229919 0.741112005065802 0.376674109146939 0.664667826604258 0.387141951620782 1.11265181820619 0.930019744891048 1.13443545542943 1.11386961170832 0.926457895297455 1.24194921277648
"gene_15.fasta" 0.397116003259397 1.09254578550597 1.08376247395633 1.05667593903049 1.01407142616535 0.921501149743142 0 0.637464489658805 0.730099734351489 0.65954954497789 0.719278390537667 0.369058643209978 0.645887033744352 0.359105560271905 0.959799335257434 0.833988104134008 1.07413864027361 1.04180052178961 0.940098705762521 1.12047098063738
"gene_16.fasta" 0.823506988350924 0.804718716134705 0.715206027229031 0.702877794793486 0.622806674250141 0.638885901876432 0.637464489658805 0 1.15115399691448 0.765431533895659 0.81595607087556 0.962901246779213 0.940395262465333 0.859741181809001 1.02249575978964 0.90612834662727 0.784637067645094 0.74769567820758 0.59028420720118 0.887133387165059
"gene_17.fasta" 0.988381748996497 0.959540340392677 0.816993380209726 0.808429404045384 0.719921219119381 0.751405945000945 0.730099734351489 1.15115399691448 0 0.935722859790935 0.975186420071252 1.15729331011163 1.10028927348673 1.04870387387841 1.22863680471587 1.1029749711363 0.942820808832589 0.898721826219897 0.707713184134814 1.05531193847709
"gene_18.fasta" 1.02322509137666 0.97883849013032 0.752565473754103 0.74498427824561 0.644659465727568 0.701164082229919 0.65954954497789 0.765431533895659 0.935722859790935 0 0.933088035018316 1.19493399158987 1.0804116913442 1.09204996908751 1.27137140707367 1.12367575089315 0.967992875231605 0.903149201853267 0.660974797471206 1.09762696580186
